"","shortName","type","inter1","estimate","se","Waldpval"
"1","recip","eval","",3.61215945464808,0.882025984418724,4.2162528538503e-05
"2","recip","eval","",4.15729985485813,0.900199355372587,3.87084760034018e-06
"3","recip","eval","",3.81821064268199,0.894385348738429,1.96272959184229e-05
"4","recip","eval","",3.52330189441695,0.908641104221587,0.000105513370587285
"5","recip","eval","",3.45749735759783,0.843469491718938,4.14692767566338e-05
"6","recip","eval","",4.07978045597954,0.988910230810383,3.69879309126686e-05
"7","transTrip","eval","",0.801103852238233,0.32653754338567,0.0141541025531268
"8","transTrip","creation","",1.47750100132528,0.614311730917303,0.0161666107960198
"9","transTrip1","eval","",1.5031822101076,0.551255411902376,0.00639451258162771
"10","transTrip1","creation","",2.93449523615879,1.02304793693807,0.00412573306256536
"11","transTrip2","eval","",1.65660047203107,0.622263312965727,0.00776276295857992
"12","transTrip2","creation","",3.10410411455957,1.24227590083782,0.0124641482565494
"13","transMedTrip","eval","",1.53975260867721,0.608127201687615,0.0113427536692722
"14","transRecTrip2","eval","",1.87055510214154,0.711754723352649,0.00858659254150185
"15","transRecTrip2","creation","",3.92081128008342,1.53244244141401,0.0105113516628801
"16","cycle3","eval","",1.16909049819273,0.584114025931687,0.0453410634416334
"17","cycle3","endow","",3.51739041319415,1.7256213740236,0.041516675313061
"18","transTies","eval","",1.30462925606958,0.47837206896959,0.00638690703677969
"19","balance","eval","",0.642827534999849,0.305281424416033,0.0352314335611388
"20","nbrDist2twice","eval","",-6.58822308564846,0.256984515177551,0
"21","denseTriads","eval","",0.95180232100723,0.361810677837252,0.00852182447828798
"22","gwespFF","eval","",1.94505415018401,0.592050763522946,0.00101880082536676
"23","gwespFF","creation","",3.6676115628778,1.28157995294708,0.00421257094312688
"24","gwespBB","eval","",1.40440112326123,0.657145594670117,0.0325879690820023
"25","gwespBB","endow","",4.07982308942856,1.79138378297651,0.0227581652981202
"26","gwespFB","eval","",2.00713381234239,0.684306507473121,0.00335604634556308
"27","gwespFB","creation","",4.17693592111619,1.323761880021,0.00160304064790806
"28","gwespBF","eval","",1.91786781092198,0.62255894748099,0.0020656980002407
"29","sharedPop","endow","",-101.167089686649,0.361787078113481,0
"30","antiIso","eval","",-76.1573929535367,1.32872476815536,0
"31","antiInIso2","eval","",2.32917729004566,1.00789471608818,0.0208365488184468
"32","in2Plus","eval","",2.44859743670478,1.05902820076673,0.0207712193888393
"33","Jin","eval","",5.80203807349891,2.2112541957519,0.00869375923711591
"34","Jout","eval","",6.21515131335989,2.13159374967112,0.00354857728174596
"35","Jout","creation","",9.48159788648214,4.21378353020715,0.0244401346988002
"36","simXTransTrip","eval","alcohol2",8.08920193788838,3.95064884341136,0.0406028493175346
"37","simXTransTrip","creation","alcohol2",12.7074593620367,6.11439424035851,0.0376830339595953
"38","sameX","endow","alcohol2",4.77042104582013,1.5181829965307,0.00167688570610169
"39","sameXOutAct","endow","alcohol2",4.77601979918834,1.51804771392753,0.0016542992496742
"40","sameXTransTrip","eval","alcohol2",2.96437253378688,1.26931567603383,0.0195220120791469
"41","sameXTransTrip","endow","alcohol2",156.865760480243,75.6451211819772,0.0381066005421847
"42","diffXTransTrip","eval","alcohol2",0.792254447131228,0.348009902162512,0.0228143991224375
"43","diffXTransTrip","creation","alcohol2",1.48512267473932,0.671739113763471,0.027045374802148
"44","homXTransTrip","creation","alcohol2",-2.42231766231138,0.0893979417659713,0
"45","jumpXTransTrip","eval","alcohol2",3.18378697733446,1.06590842513665,0.00281800182342018
"46","jumpXTransTrip","endow","alcohol2",-42.9317800783027,0.941554844672112,0
